	relationship	smoker	alp	weight	trombocyty	hematokrit	hemoglobin	er-cv	ast	ssn	erytrocyty	indicator	hbver	leukocyty	alt	etytr	name
3012	nop	no	60.81810	50.83234	7.69417	5.06342	7.72736	64.18000	55.17448	291-15-9427	8.07819	0.00000	5.66371	5.23311	13.15320	4.02129	Allison Ramos
3013	divoced	no	51.15918	88.06986	7.94933	7.55691	4.85009	56.72159	48.45297	817-99-0213	7.28333	1.00000	5.58819	4.95641	8.89910	6.27295	Charles Schwartz
3014	married	Y	61.22077	76.37165	6.62502	5.44572	5.13555	43.64678	46.65650	222-19-5110	2.38466	1.00000	3.72964	6.72470	5.73411	6.49470	Manuel Clark
3015	single	yes	39.27400	53.75493	8.78759	4.84827	4.61523	64.52207	13.36677	436-50-6279	4.47887	0.00000	6.53608	5.81607	7.19092	6.89435	Robert Barker
3016	divoced	Y	66.96011	43.69946	8.06066	4.48438	5.25930	29.54705	71.85676	341-16-9156	4.55613	0.00000	6.69331	6.06918	4.18119	6.69424	Ryan Kramer
3017	single	N	92.40533	61.56027	7.90754	3.46151	6.20070	68.77218	38.92526	290-30-8274	5.45909	0.00000	6.62529	4.08510	6.45346	5.71734	Erin Gardner
3018	married	Y	77.06915	89.42347	7.36927	6.64132	7.18061	39.80798	41.09925	819-18-6942	6.42681	0.00000	5.39316	5.81526	5.86931	5.99158	Monique Chavez
3019	divoced	no	13.70426	125.15607	6.28013	6.17108	8.82685	56.31874	20.66454	183-74-8931	7.72649	1.00000	8.40360	5.73329	9.07141	4.81334	Sara Jackson
3020	nop	no	82.52687	72.59907	6.10505	5.96549	6.40812	42.99480	58.68321	720-10-0899	7.24808	1.00000	5.64649	6.55295	7.56332	6.29551	Taylor Williams
3021	single	yes	79.14035	53.70198	6.50796	6.16294	5.48847	39.23691	57.30475	746-63-4019	3.46312	0.00000	8.32107	7.29411	7.07339	3.59895	Joshua Kelly Jr.
3022	divoced	no	53.80499	94.61858	7.11865	8.23080	4.65838	33.09277	28.84377	737-98-3812	7.61579	1.00000	5.90974	4.48682	12.46088	6.10504	Philip Bush
3023	single	no	44.82944	67.48819	6.69569	6.78189	4.82897	59.56317	51.89193	278-10-0162	7.39134	1.00000	4.37392	5.44921	6.23123	6.02543	Kevin Curry
3024	widowed	no	44.02317	113.79395	8.23729	4.54240	7.94765	59.67051	56.50196	764-53-5096	6.97751	0.00000	4.94242	5.39710	9.10354	4.96310	Christopher Brown
3025	nop	no	54.23300	130.98436	8.41105	4.55042	5.00836	66.75718	41.97056	764-91-9529	4.58395	0.00000	4.07585	7.00406	4.20585	7.18862	Barbara Holloway
3026	divoced	no	62.92237	82.13068	7.20007	6.64158	7.43215	55.77964	34.10748	070-57-9867	7.88664	0.00000	7.49287	6.58151	13.41632	5.56888	Shannon Torres
3027	divoced	Y	69.51358	98.97322	6.75726	7.55043	5.10939	80.02691	50.91128	618-22-3194	7.59532	1.00000	4.34691	6.89581	12.67910	5.41604	Michael Cole
3028	separated	N	78.77121	65.32826	7.54475	5.83008	7.08697	53.52488	30.16614	834-30-3393	5.44209	0.00000	6.33481	4.68694	6.19559	5.48168	Isaiah Jensen
3029	married	no	87.32727	14.39253	7.43186	6.80295	6.46002	34.04968	42.20424	746-71-1489	6.86003	1.00000	6.56921	6.24026	6.24515	7.00663	Larry Curtis
3030	nop	Y	76.61471	98.36720	6.97494	5.29580	7.00729	41.32717	41.52712	839-46-4494	7.38753	0.00000	6.58270	4.67459	9.79880	5.71429	Sharon Taylor
3031	divoced	no	8.91470	37.12231	7.31358	5.06941	8.91512	38.64449	38.79868	527-97-1787	1.97534	0.00000	6.58486	6.94293	5.50157	5.76999	James Long
3032	nop	no	76.61727	83.12278	7.68288	8.09442	5.72144	42.43678	30.88791	093-77-4407	6.92629	1.00000	5.09820	6.95965	7.45656	5.84148	Joanna Foster
3033	divoced	no	86.14325	111.59753	6.51767	4.36849	5.90538	61.05374	37.61385	226-09-2201	3.47711	1.00000	6.42944	6.48239	5.15224	8.44502	Lisa Reyes
3034	married	yes	51.66178	48.17421	6.97700	3.52643	7.71155	41.23886	69.36371	012-96-1965	5.67668	1.00000	6.11178	5.72229	2.89562	5.07592	Abigail Norris
3035	single	Y	22.84348	61.68118	8.19684	6.58300	8.40568	60.43555	43.02545	708-36-7168	8.26164	0.00000	4.53069	7.17598	16.29472	5.22811	Angela Richards
3036	married	no	83.98251	89.41213	6.30359	7.03303	5.78416	57.20523	54.83787	814-72-3338	7.22106	1.00000	8.23288	7.48916	8.71726	5.69640	Mr. Michael Bailey
3037	divoced	no	21.94850	94.52615	7.50831	8.15230	4.00653	59.57378	33.67075	281-14-8899	7.54179	1.00000	4.28824	5.45881	10.89497	5.83787	Amanda Lopez
3038	divoced	no	39.74639	75.94471	7.74881	7.66302	4.36921	54.03766	60.89877	361-01-4324	7.40444	0.00000	7.13387	7.55358	7.58645	4.78376	Matthew Porter
3039	nop	no	38.69784	1.73931	6.93722	7.62321	4.39878	57.88012	53.45933	496-06-8479	7.57894	1.00000	6.66456	5.63775	8.93591	6.06526	Jill Martinez
3040	divoced	no	54.78530	55.94489	8.57563	8.51157	4.85621	54.03805	44.70021	707-10-4702	6.86448	1.00000	6.40914	5.93316	8.11481	6.39267	Sean Robertson
3041	divoced	no	69.33224	55.01888	6.35137	6.97793	5.21251	49.12617	27.28311	076-34-2314	7.54206	1.00000	4.74213	5.79982	8.60509	5.68581	Jerry Wilson
3042	single	no	45.10472	82.36490	5.29275	6.17877	4.78084	54.07061	51.17064	066-45-2868	7.89059	1.00000	5.15918	5.48136	12.35322	5.31982	Heather Haley
3043	married	no	94.99072	-26.96944	7.58014	4.20137	6.45093	47.69391	56.89385	603-96-4766	3.44874	1.00000	6.22224	4.41871	4.60490	6.01964	Heather Johnson
3044	married	yes	71.08056	90.10321	8.33011	7.90962	5.27859	52.24104	47.24223	796-30-3006	6.97899	1.00000	6.01418	6.51039	8.19646	5.72456	Michael Butler
3045	widowed	no	20.42212	86.29432	5.65773	7.15613	3.76297	44.97761	48.26227	546-16-2522	8.22038	1.00000	5.40858	7.00523	12.60549	6.39781	Cynthia Rowland
3046	separated	yes	82.35794	74.79705	5.45172	5.44565	5.72675	41.17876	37.47247	392-60-0555	6.59058	0.00000	7.25149	6.35120	7.20485	5.95056	Justin Johnson
3047	married	N	81.10240	89.54507	7.24151	6.60656	5.90942	56.33959	32.33528	626-45-0870	6.87624	1.00000	5.43591	5.72739	9.91835	6.20709	Hector Brennan
3048	divoced	no	83.57614	63.83911	6.57219	3.86621	6.93010	34.35795	38.35219	408-42-9730	8.07393	0.00000	6.84145	5.38461	14.38004	6.36976	Christopher Serrano
3049	divoced	no	76.06342	130.10598	5.94259	5.28967	5.77879	54.52373	30.51552	516-58-8372	4.02260	1.00000	6.75156	8.07927	5.76365	4.17242	Ashley Bates
3050	married	no	84.81736	99.87735	7.78048	7.05966	6.53385	36.43357	72.45894	035-53-9796	6.49611	1.00000	6.06293	5.53683	10.13965	6.22977	Rachel Rios
3051	nop	no	31.11849	71.55498	8.90160	4.19489	4.41737	31.88064	32.20983	041-43-3109	5.49399	0.00000	5.40224	5.49601	5.53762	6.86247	Nicole Silva
3052	divoced	Y	23.64707	60.32879	7.91950	7.38506	8.29241	52.53845	52.98015	642-80-6284	5.64564	1.00000	5.34556	6.57660	4.54366	5.25961	Thomas Serrano
3053	separated	Y	67.08971	86.86741	5.31378	5.99985	7.47508	35.75106	42.12305	310-23-1374	3.07590	0.00000	6.43103	5.04917	3.90584	6.28810	Nancy Jimenez
3054	married	Y	86.65878	56.06263	6.15752	6.10865	5.69091	63.00560	44.41864	651-27-3293	7.31259	1.00000	3.08818	5.58283	9.08875	4.69781	Jodi Burke MD
3055	single	Y	52.40527	52.88635	4.49490	4.92170	4.73349	39.71969	48.75025	382-38-5697	6.37265	0.00000	3.99691	5.36663	7.34650	6.59455	Alyssa Pruitt
3056	single	yes	67.94187	43.03376	7.39958	4.88551	5.30238	41.25815	45.67334	475-07-6042	4.34941	0.00000	5.90374	6.14254	5.66185	7.25537	Jeffrey Young
3057	separated	Y	14.81231	118.41618	6.04315	7.35371	3.71915	52.37090	41.03421	224-62-6989	8.32137	1.00000	4.45206	7.79893	16.54890	6.87740	Christopher Harvey
3058	married	yes	74.36838	63.94393	6.04620	6.36474	5.42466	55.32055	55.09677	230-44-6370	7.47848	1.00000	5.84731	5.45049	8.67448	5.29777	Bianca Arroyo
3059	single	no	36.57103	30.56572	7.88102	5.88415	8.06549	69.65594	34.66495	254-73-5618	8.24501	0.00000	6.71093	8.01835	13.77254	3.13682	Mary Harper
3060	widowed	no	85.97182	85.56310	7.14493	4.26587	6.24443	73.04946	58.06886	036-60-5731	3.87110	1.00000	5.80125	5.55886	4.90855	6.46036	Terri Dennis
3061	divoced	no	66.29535	84.05229	7.82788	5.20736	4.94845	42.22905	31.10828	876-93-5060	4.53231	0.00000	7.07641	5.61955	4.11471	7.63023	Jane Adams
3062	single	no	86.29507	44.91315	6.63006	4.42835	6.23905	61.26673	33.65726	182-67-2542	4.15851	1.00000	8.08254	5.53398	4.84751	5.28236	Shannon Bradford
3063	single	no	40.85831	73.86476	7.28951	7.46651	4.57535	43.19540	60.51460	760-48-9167	7.44568	1.00000	5.54373	6.28360	9.60555	8.16436	Christina Perez
3064	single	yes	77.32646	24.63810	8.24272	7.66109	5.63220	43.61904	32.28010	384-06-4472	6.79683	1.00000	5.97678	6.68178	6.25110	6.00257	Mr. David Ray
3065	nop	yes	58.16667	114.55203	7.72068	7.72813	5.10212	54.96456	54.70162	176-19-8185	7.13160	1.00000	6.73860	6.92909	7.54886	6.19744	Dr. Chad Cole
3066	widowed	yes	91.56781	38.56786	8.59018	8.04791	6.13988	41.88345	59.06438	573-36-0754	6.66650	1.00000	4.82400	5.68554	7.94915	5.83055	Debbie Jones
3067	divoced	no	39.25399	92.25406	5.87304	6.54033	4.37178	55.44441	49.44625	791-99-2105	7.87832	1.00000	6.08738	4.96284	12.34148	5.02096	Mr. Scott Parsons
3068	married	no	91.07022	47.30770	7.85252	7.90427	6.49591	57.41811	59.82547	305-38-7268	6.64380	1.00000	5.25931	6.36046	7.77457	6.57127	Tina Fisher
3069	nop	Y	49.42218	45.64862	5.23789	6.13684	4.54613	41.93148	42.70324	549-41-6887	7.95085	1.00000	6.08295	7.57139	13.22493	5.19318	Evan Salinas
3070	single	Y	68.90564	85.83949	7.13882	7.09474	5.40816	70.22531	38.59891	554-47-7359	7.31187	1.00000	6.41571	6.23687	10.05792	5.99736	Patrick Wilkerson
3071	divoced	no	48.60647	46.69268	7.63637	3.99729	7.87814	65.46601	68.21524	354-60-5319	8.41117	0.00000	6.51173	6.80551	15.76989	6.69663	Elizabeth Woodard
3072	divoced	yes	35.72031	59.94765	6.16624	6.21223	4.30571	44.97605	51.54358	292-43-4188	7.98346	1.00000	6.91847	8.01132	13.00502	6.15069	Margaret Mack
3073	single	no	52.38183	13.56506	7.87154	6.27952	7.70528	66.65121	36.04672	227-58-9209	6.88136	0.00000	5.87871	6.34909	8.57933	7.40573	David White
3074	married	Y	72.02125	105.67077	6.68612		7.28957	37.97378	46.53262	403-58-7441	5.69333	1.00000	4.98499	6.19093	4.02350	7.70167	Michael Vasquez
3075	separated	Y	33.14660	114.52957	9.95985	7.07972	4.25525	64.82008	73.17759	654-37-4214	1.44303	0.00000	6.63925	4.64258	5.29048	7.43707	Michael Weaver
3076	single	Y	6.27569	36.20571	8.06448	4.64594	3.15473	53.22794	43.50121	224-62-6989	6.13607	0.00000	6.79549	6.35247	5.19855	6.29277	Christopher Harvey
3077	divoced	Y	26.95248	140.88004	8.61513	4.96445	8.30119	37.07567	58.70819	282-16-8611	5.26010	1.00000	5.20427	6.56749	4.61077	7.40063	Gina Curtis
3078	single	yes	44.05947	23.52648	8.83647	4.09240	10.90545	46.75116	54.11444	117-11-7916	8.33508	1.00000	5.05688	6.54761	18.19832	5.18882	Michael Larsen
3079	separated	no	50.91092	118.62068	9.25922	4.37671	4.94244	58.46487	67.93535	409-95-8553	4.83201	0.00000	6.22303	6.41621	5.19504	6.68105	Jonathan Rios
3080	single	no	66.20459	52.55376	6.78415	6.70616	5.30967	73.43488	26.31967	467-96-6983	7.32750	1.00000	5.84634	7.03094	10.45728	7.26108	Victoria Silva
3081	married	Y	66.20296	113.28842	6.38687	4.50518	5.17645	61.25901	54.56201	195-41-9740	5.57877	0.00000	5.13110	5.15440	5.45709	5.34731	Adam Andrews
3082	married	no	53.94490	55.17570	6.02561	6.61003	4.71544	37.56034	35.50644	062-90-2356	7.86562	1.00000	6.36957	6.19142	13.62597	5.08767	Jonathan George
3083	married	no	32.02904	81.75617	7.99834	4.45557	8.18868	68.26905	64.21320	844-62-9089	8.70826	0.00000	6.35261	6.00352	23.89731	5.02400	Samuel Hall
3084	married	no	67.83397	38.01924	6.94402	7.61696	5.18360	59.26768	79.86242	598-92-5662	7.41923	1.00000	6.75093	7.10258	12.28822	6.48384	Gabriel Lucas
3085	married	yes	64.29508	63.95489	7.64415	6.39246	7.47817	19.05351	60.22490	166-93-6255	4.87044	1.00000	4.76576	7.43153	5.68368	7.27165	Kyle Perez
3086	widowed	no	46.65905	57.39976	7.63482	3.36277	4.64929	53.45618	40.29429	729-78-0401	6.70526	0.00000	4.31358	8.07912	7.36402	6.39243	Shannon Brooks
3087	married	Y	90.02914	31.25868	8.61852	7.72209	6.33040	56.52381	26.58050	620-06-3301	6.58148	1.00000	6.09449	3.89798	8.03526	5.85126	Suzanne Gonzales
3088	single	no	66.31489	27.99772	8.70754	3.46645	5.12500	60.30842	57.59654	209-22-5105	5.80664	0.00000	7.58437	4.98679	6.28336	5.23044	Sandra Baldwin
3089	married	no	87.13759	67.18029	6.99992	4.82492	6.47889	54.61882	47.22173	877-65-0381	3.96137	1.00000	6.14457	6.73599	6.00033	6.04867	Jason Harris
3090	divoced	yes	75.36007	92.68009	7.16000	5.15134	5.30940	70.21400	61.99409	369-88-7337	4.25107	0.00000	5.95915	4.06129	4.35759	6.49866	Anna Smith
3091	nop	N	11.80028	40.42414	7.18273	5.15351	2.95553	57.22216	85.71522	002-69-6099	6.23268	0.00000	5.73776	5.33830	8.71186	6.77819	Patrick Mullen
3092	married	Y	65.11586	44.49093	5.45034	6.52092	5.30538	76.01438	38.04022	086-85-8021	7.85646	1.00000	7.30400	7.22528	11.20678	4.50421	Nathan Poole
3093	married	no	86.18728	80.26907	6.17730	5.14485	6.08071	78.59778	53.29163	158-65-9043	6.60715	0.00000	6.64228	6.18637	8.17289	7.59379	Jonathon Allen
3094	single	no	47.08197	98.94815	6.82641	7.90738	4.56344	58.38629	59.43990	040-52-5427	7.58999	1.00000	7.74072	7.27788	10.13445	5.34800	Mr. Charles Adams
3095	widowed	no	41.79839	-3.58446	8.21632	8.08967	4.54034	43.52392	36.78138	568-05-0759	7.16020	1.00000	6.38725	4.28485	12.67753	6.57715	Krystal Noble
3096	nop	Y	83.63455	78.65033	7.24480	2.97255	6.84922	45.22171	37.92752	061-46-8663	4.31294	1.00000	5.77978	5.72357	4.26248	7.92049	Sarah White
3097	divoced	yes	14.79882	65.81056	8.20077	8.81032	3.33146	66.84002	59.83604	692-69-3200	7.83101	1.00000	7.02865	5.51055	15.04103	8.15585	Cathy Edwards
3098	divoced	no	14.81790	72.71136	8.02349	7.63551	3.76052	58.24876	37.71559	382-61-3827	7.56580	1.00000	5.98316	6.43768	9.54931	6.25796	Connor Wright
3099	single	no	71.32663	67.61769	6.94704	5.27525	7.22513	62.63148	61.94558	840-37-4406	5.05987	1.00000	7.03436	7.42339	2.46975	6.52282	Lori Lawrence
3100	divoced	Y	35.61326	20.43690	7.93244	4.29656	8.23819	38.41249	58.39265	511-94-7181	9.20890	0.00000	4.98196	6.70874	34.65940	5.13603	Natalie Baxter
3101	nop	no	57.04792	90.36495	7.13366	4.27444	7.54642	64.36543	32.78760	890-15-0856	7.88569	0.00000	6.76166	3.91883	10.92551	6.94325	Patrick Long
3102	nop	no	69.57911	62.70087	8.28584	4.32437	5.00940	27.21501	59.15521	403-10-3319	5.10505	0.00000	7.57778	5.81624	2.68069	5.18437	Sarah Hampton
3103	divoced	no	22.20827	59.23986	6.90385	7.25067	3.83411	66.64476	36.04310	193-55-3540	7.84714	1.00000	6.11805	5.42432	13.23519	6.36770	Mike Brown
3104	single	yes	63.29000	92.15158	6.68810	5.03505	5.16936	42.47357	39.20955	871-10-2414	5.15125	0.00000	5.91568	7.08128	4.35399	4.71101	Patricia Glover
3105	divoced	no	87.04648	45.96299	6.91022	6.03083	6.28071	67.13925	33.67846	137-01-3747	6.74715	0.00000	6.98951	4.31583	7.70922	7.53580	Jessica Doyle
3106	nop	no	77.60509	99.51434	6.92714	4.90509	6.69977	58.01564	57.15741	468-01-3726	4.31629	0.00000	5.56130	6.28727	2.92461	5.76731	Tony Drake
3107	divoced	no	87.63861	6.64492	6.66587	7.97038	5.87726	56.80883	32.28306	816-94-7430	3.64698	1.00000	5.47076	6.61123	1.99414	6.89120	Michael Nicholson
3108	married	no	56.06644	58.66957	8.21517	6.77296	7.73823	57.81684	47.67014	183-98-6160	4.67048	1.00000	6.36309	5.12193	4.44221	5.51686	Steve Brown
3109	widowed	yes	74.75403	97.64955	7.19701	7.31414	5.44059	52.91071	52.07230	395-97-6589	7.22097	1.00000	7.22797	4.61434	9.50708	4.84202	Cindy Russo
3110	divoced	no	79.72886	30.16611	9.44093	4.35434	6.03736	52.21134	26.17960	484-63-6022	3.61178	0.00000	6.17520	5.57487	1.46649	7.08701	Michael Stevens
3111	single	Y	77.94938	108.75997	6.22031	5.49625	6.90939	47.76337	41.33250	634-99-3541	8.19348	0.00000	4.05166	5.28271	16.30194	5.64215	Becky Franklin
3112	married	yes	43.80925	34.87928	7.99584	8.40348	4.62447	32.00276	65.46970	428-75-1848	7.38488	1.00000	7.69740	6.86929	12.16937	6.37313	Brandon Garcia
3113	divoced	yes	73.85778	45.12382	7.28153	4.08515	7.18047	47.52673	47.60008	584-98-2239	6.65849	0.00000	5.41506	7.89985	7.62596	5.00049	Kari Ward
3114	divoced	no	65.07879	94.02998	7.80956	6.15771	7.61246	59.33563	52.20419	467-96-6983	4.82072	1.00000	6.03671	3.80878	5.04478	5.33554	Victoria Silva
3115	divoced	yes	92.65709	44.73840	7.48252	5.97448	6.14262	49.95680	56.29016	444-29-6021	6.76485	1.00000	5.64424	5.45124	8.60332	4.56288	Laura Bryant
3116	divoced	no	67.80257	121.74565	7.51222	6.09650	7.37775	85.80708	51.55762	183-44-0753	7.29001	0.00000	6.51751	5.91830	8.11616	5.66354	Anna Jones
3117	nop	no	54.85305	51.70335	6.79495	7.53888	5.14225	54.80126	64.03291	276-02-6345	7.45201	1.00000	4.65809	5.30877	8.36285	6.68758	Kenneth Chapman
3118	divoced	Y	52.68293	129.85554	6.03522	6.40245	4.86697	54.20426	34.02908	822-76-0626	7.72805	1.00000	6.60329	8.02825	10.73176	5.80694	Linda Jones
3119	single	yes	60.48634	99.65712	7.23455	7.44809	5.08058	64.55136	58.99650	076-12-0250	7.38336	1.00000	6.85908	7.81326	10.18164	7.11305	Kenneth Brock
3120	single	no	34.00192	87.80834	8.02565	5.92145	8.18682	56.36811	57.52130	324-59-5843	7.98331	0.00000	5.71466	6.19968	12.59700	7.50095	Richard Goodman
3121	divoced	yes	16.77733	125.65634	8.01344	5.59342	2.52699	60.01334	52.87781	497-69-9365	5.15672	0.00000	6.52051	5.48151	5.26817	6.09447	Nicholas Taylor
3122	single	no	77.82272	74.96084	6.94551	7.69775	5.64697	75.12234	46.52403	272-75-4885	7.42238	1.00000	6.31210	6.60916	9.21831	6.43457	Alicia Owens
3123	single	Y	5.52135	9.73836	5.72092	5.78254	3.42839	21.78306	58.08180	203-58-5186	5.54938	0.00000	4.28423	7.13886	6.88918	5.09248	Teresa Roman
3124	married	no	88.76263	51.10844	7.22895	2.60147	6.04102	51.15451	38.01540	099-59-9454	2.97846	1.00000	4.59204	5.96592	3.34719	5.72063	Shannon Kelly
3125	divoced	no	22.00788	100.25905	8.56664	5.98850	8.87204	63.03309	48.22645	029-03-4354	6.02501	1.00000	4.76514	5.78497	5.79051	6.32495	Margaret Watts
3126	single	Y	67.07663	104.30237	6.82893	4.04544	5.44685	50.22233	41.52227	187-77-9335	3.03277	1.00000	5.98597	5.82438	4.85685	4.52753	Lisa Horne
3127	married	yes	20.40951	103.20379	7.28115	5.66327	9.00273	56.98352	60.19200	326-48-1858	7.26774	1.00000	4.93849	4.95473	9.48977	5.12243	Bradley Vaughn
3128	widowed	Y	30.66192	76.16135	8.36182	4.20258	8.37351	51.73771	53.68972	064-07-2706	7.97745	0.00000	5.11956	4.26245	13.88311	6.71732	Alexander Scott
3129	nop	yes	67.75124	69.49105	8.24559	4.01313	7.38517	57.13944	43.26795	832-30-3249	4.25012	1.00000	5.73416	7.73918	3.66801	7.87788	Gregory Martinez
3130	single	no	79.38254	81.48408	9.72076	2.94785		65.56633	48.18295	851-63-1116	5.90413	0.00000	5.87151	6.54205	6.19068	7.88576	Sharon Ramirez
3131	single	no	71.34947	34.99615	6.86251	6.62251	5.39743	57.59234	62.79461	068-09-3294	7.14892	1.00000	6.81977	6.68841	7.63060	4.75003	Debra Swanson
3132	divoced	no	89.85944	67.16890	6.82691	3.42936	6.24309	35.58578	47.01121	319-77-7622	3.88970	1.00000	7.10450	3.98452	4.92498	6.64905	Sarah Rodriguez
3133	divoced	no	86.31100	70.86245	8.34889	7.44846	6.59083	56.29710	58.12180	529-38-3154	6.36884	1.00000	7.92164	4.97173	7.02199	7.67625	Troy Wilson
3134	nop	no	48.57396	85.97614	8.12597	4.95385	7.81456	55.95609	40.10876	725-11-3191	6.34126	0.00000	6.28465	4.67989	9.02149	7.64892	Andrew Rodriguez
3135	single	yes	84.86560	67.58331	7.67270	7.18564	5.97171	50.03667	53.88834	511-94-7181	6.63470	1.00000	6.33154	5.42544	4.29466	6.75419	Natalie Baxter
3136	single	no	45.82533	42.83806	8.51483	6.39137	7.95228	39.03653	50.64826	263-75-8587	6.19159	0.00000	4.22184	7.65713	5.77938	6.24115	Kyle Ramirez
3137	divoced	no	21.53989	0.23613	9.19355	4.65875	8.63727	53.09292	62.13506	340-50-4244	6.39120	0.00000	4.72575	5.65493	4.51517	7.02279	Lauren Roman
3138	single	no	46.56502	66.86348	7.36084	4.73888	7.84236	50.97555	45.67796	082-71-9380	9.23109	0.00000	6.66461	6.80022	34.45426	5.12758	Jonathan Lambert
3139	separated	Y	54.63254	14.06029	8.45402	4.89064	7.77003	43.19429	67.72097	399-15-7428	5.00509	0.00000	5.38564	5.95430	5.54964	5.42328	Mr. Michael Hopkins
3140	married	no	33.59519	126.98805	8.04674	3.73709	8.31936	52.01358	28.05372	314-35-2170	5.65912	1.00000	5.15243	7.35674	5.73835	5.03310	Mitchell Reyes
3141	single	yes	64.52524	61.36572	5.06046	3.00829	4.99205	33.96716	55.41272	333-30-5115	3.37571	1.00000	4.62621	3.89683	4.59906	5.94168	Stephanie Phillips MD
3142	divoced	yes	74.03202	-1.33471	8.39078	2.45847	5.39278	54.20267	35.86458	305-38-7268	6.89955	0.00000	7.39320	6.45350	7.05999	5.59954	Tina Fisher
3143	married	Y	90.64610	87.62989	5.79665	3.29556	5.86065	65.89429	52.52300	406-86-9202	6.70035	0.00000	5.26433	5.31025	7.39851	5.51467	Susan Knox
3144	nop	Y	17.47037	80.81482	7.71162	5.27786	8.45022	100.00000	52.57144	526-36-9961	6.02383	0.00000	5.82632	7.84387	6.57360	6.31295	Sean Thompson
3145	nop	yes	90.81971	112.13887	7.54874	7.76345	6.53536	57.58596	48.25005	799-13-1947	6.70979	1.00000	6.12777	6.66340	4.79465	5.83074	Heather Davidson
3146	separated	no	35.22570	63.33215	5.93921	7.27193	4.38325	71.75740	46.00209	573-85-2490	7.80033	1.00000	5.39766	5.49684	13.33765	4.89182	Lauren Wilson
3147	single	no	45.63993	95.43388	7.73471	5.00781	7.87338	69.93382	63.61387	602-36-1722	8.18650	0.00000	6.50335	8.68820	15.23096	5.33346	James Jones
3148	single	no	83.16300	139.73689	6.60919	5.98165	5.87855	58.21029	50.53585	155-99-7936	7.19395	1.00000	6.52419	6.66329	8.96364	7.40690	Paul Bryant
3149	divoced	no	7.97425	2.65186	7.26063	8.48719	2.90843	67.91506	42.93810	853-37-1656	8.13774	1.00000	6.80559	5.83420	12.83854	5.56707	Andrew Jarvis
3150	divoced	no	89.37684	94.56183	6.18373	5.39394	6.04655	38.37343	37.64102	852-24-0356	6.38202	0.00000	8.51797	5.73177	6.74196	5.75712	Ashley Johnston
3151	divoced	no	53.53858	47.13912	6.64514	7.11015	4.75771	50.38695	45.69101	899-61-1948	7.60033	1.00000	5.83123	6.63787	9.12331	7.63797	Katherine Hobbs
3152	divoced	no	51.72693	72.94519	8.12379	7.61479	4.57998	57.03550	60.90968	051-50-7963	7.34204	1.00000	7.04072	6.28352	10.82147	7.71044	David Luna
3153	single	yes	72.00867	77.97527	6.97396	4.77443	7.17546	34.64477	40.87473	667-44-7293	7.77348	0.00000	5.52329	4.86652	12.76491	5.31526	Ryan Armstrong
3154	divoced	yes	54.80961	84.57741	7.02904	8.32692	4.97965	60.05363	33.78600	453-78-1426	7.55924	1.00000	6.56381	5.57787	10.78635	6.60349	Derek Taylor
3155	widowed	no	79.99269	101.77986	6.45147	4.38170	5.53110	55.06273	56.67022	624-61-5279	5.45145	0.00000	6.25309	5.96367	3.46337	6.68122	Erica Lutz
3156	widowed	no	80.15651	94.85393	5.62548	3.15659	6.06923	57.78285	28.53604	394-68-5920	7.92857	0.00000	4.71622	5.77800	12.93421	7.09456	Kelly Chapman
3157	widowed	no	54.30134	124.24211	7.59747	6.99218	4.83342	56.09654	45.80523	075-59-9644	7.21902	1.00000	6.64710	6.19059	7.75828	7.23963	Joel Rodriguez
3158	divoced	Y	78.74378	98.63213	7.28883	4.09142	7.07361	37.21774	52.44280	467-16-7509	4.45352	1.00000	7.07369	7.26406	6.47490	5.81291	Joshua Collins
3159	married	Y	46.26423	60.74725	8.29582	8.95851	4.68626	49.46801	42.54043	778-70-8298	7.27045	1.00000	7.38029	6.09552	10.90560	6.74409	Tiffany Larsen
3160	nop	N	74.41616	82.04658	5.18910	5.37570	5.41376	35.95969	46.10740	341-16-9156	6.68569	0.00000	5.26567	6.69632	6.54531	7.03300	Ryan Kramer
3161	separated	yes	11.34442	62.55244	5.74674	9.13136	2.55885	57.37508	43.90616	380-94-6080	2.52230	0.00000	5.22266	7.25938	2.29491	5.16953	Sonya Perez
3162	married	yes	87.40109	71.88218	6.40415	5.45519	6.67439	70.26479	57.36047	026-21-0439	7.58626	1.00000	5.38193	5.43254	10.53140	6.48545	Taylor Thomas
3163	divoced	no	69.73108	38.83884	7.27354	2.93294	7.26968	57.76272	36.07611	667-74-8747	4.93303	1.00000	6.29826	6.81528	8.79455	6.30423	Randy Williamson
3164	single	no	9.44306	5.43663	9.92537	5.43043	9.63839	51.67230	59.41386	883-40-7402	7.68653	0.00000	5.53366	5.19685	13.65851	6.21164	Amanda Alexander
3165	married	no	68.89084	28.39046	5.23807	3.52130	5.42366	65.70970	32.34251	765-52-6127	6.53093	0.00000	4.68721	5.63405	3.69538	6.59171	Damon White
3166	divoced	no	66.42745	78.72964	7.94324	7.24163	5.02289	68.29802	50.10546	648-90-5737	6.96856	1.00000	6.67574	5.83274	7.74606	6.20503	Linda Hahn
3167	nop	Y	71.52575	101.64199	6.80869	5.07655	7.25536	18.97214	49.25659	442-51-3569	5.22862	1.00000	6.30150	7.44471	6.45710		Thomas Jones
