,relationship,smoker,alp,weight,trombocyty,hematokrit,hemoglobin,er-cv,ast,ssn,erytrocyty,indicator,hbver,leukocyty,alt,etytr,name,residence,blood_group,birthdate,address,race,job,sex
1317,single,no,76.70955,93.05743,6.4336,5.30575,6.17053,55.52732,37.69657,087-17-5022,4.22397,1.0,5.97876,5.84565,2.74602,5.52841,Scott Vance,"128 Nelson Rapids
Smithfurt, IA 29679",AB-,1977-09-11,"0296 Banks Green
Stevenstad, OK 34804",Black,Proofreader,M
1318,single,no,55.73641,53.84997,7.32689,5.69251,7.63716,45.93942,42.24812,087-17-5022,5.27248,1.0,7.11927,5.81301,4.26959,8.27579,Scott Vance,"128 Nelson Rapids
Smithfurt, IA 29679",AB-,1977-09-11,"0296 Banks Green
Stevenstad, OK 34804",Black,Proofreader,M
1319,divorced,no,90.66896,103.52206,6.78246,4.2171,6.04991,57.13935,61.70959,087-17-5022,5.223,0.0,7.29196,5.54391,7.72068,4.12125,Scott Vance,"128 Nelson Rapids
Smithfurt, IA 29679",AB-,1977-09-11,"0296 Banks Green
Stevenstad, OK 34804",Black,Proofreader,M
1320,married,no,22.36813,124.84861,8.28682,4.6788,3.98373,18.71428,31.63902,087-17-5022,5.3495,0.0,5.94618,5.6632,7.04328,6.28796,Scott Vance,"128 Nelson Rapids
Smithfurt, IA 29679",AB-,1977-09-11,"0296 Banks Green
Stevenstad, OK 34804",Black,Proofreader,M
1321,divorced,no,71.51745,78.85016,6.62808,4.487,5.12722,68.02382,50.25049,386-28-8676,5.97165,0.0,5.48058,6.64648,6.00827,6.43429,Jasmine Berry,"80115 Harris Inlet Suite 092
North Daniellemouth, SC 45223",B+,1949-12-02,"Unit 3992 Box 7571
DPO AE 95752",Black,Barrister's clerk,F
1322,married,yes,7.24928,31.04022,9.39519,5.35354,9.27841,64.73369,57.61141,386-28-8676,7.85415,0.0,6.41233,6.31445,11.83765,7.11328,Jasmine Berry,"80115 Harris Inlet Suite 092
North Daniellemouth, SC 45223",B+,1949-12-02,"Unit 3992 Box 7571
DPO AE 95752",Black,Barrister's clerk,F
1323,separated,no,82.85236,60.3986,7.16092,6.78628,5.55993,27.699,59.20916,386-28-8676,7.26672,1.0,6.32259,7.23093,12.14131,6.00218,Jasmine Berry,"80115 Harris Inlet Suite 092
North Daniellemouth, SC 45223",B+,1949-12-02,"Unit 3992 Box 7571
DPO AE 95752",Black,Barrister's clerk,F
1324,single,no,76.31815,48.23823,4.77356,4.07467,5.58338,48.81693,48.33445,307-42-7585,8.28906,0.0,5.07324,6.86902,17.10837,5.85074,Diane Jones,"555 Vasquez Vista Suite 027
Nicolebury, KY 97789",O+,1951-03-19,"1198 Ivan Shore
Andersonfurt, WI 29636",White,Immunologist,F
1325,divorced,yes,41.8942,64.36125,4.87127,7.09223,1.53266,36.68612,42.41698,307-42-7585,5.68645,0.0,7.09216,4.82537,3.19411,5.12992,Diane Jones,"555 Vasquez Vista Suite 027
Nicolebury, KY 97789",O+,1951-03-19,"1198 Ivan Shore
Andersonfurt, WI 29636",White,Immunologist,F
1326,married,yes,82.16204,50.28287,7.22606,4.52832,6.68562,47.26689,36.99763,307-42-7585,5.44199,0.0,8.22155,5.30498,7.32922,5.90894,Diane Jones,"555 Vasquez Vista Suite 027
Nicolebury, KY 97789",O+,1951-03-19,"1198 Ivan Shore
Andersonfurt, WI 29636",White,Immunologist,F
1327,widowed,no,15.15462,72.14804,7.50395,4.97194,3.67986,56.89947,62.6824,593-54-9579,5.69152,0.0,5.12678,6.30726,5.80281,5.93442,Scott Reed,"2233 Williams Islands
East Christina, RI 62018",O+,2011-10-11,"3446 Cherry Alley Apt. 837
Duncanview, IN 18191",White,Tourist information centre manager,M
1328,married,yes,65.25121,60.83221,7.09495,7.06656,5.34992,53.90248,49.13052,593-54-9579,7.24819,1.0,7.05348,5.57074,9.88217,4.45313,Scott Reed,"2233 Williams Islands
East Christina, RI 62018",O+,2011-10-11,"3446 Cherry Alley Apt. 837
Duncanview, IN 18191",White,Tourist information centre manager,M
1329,widowed,yes,58.19143,155.48411,7.21492,3.94319,7.48794,59.63171,47.13418,593-54-9579,5.30942,1.0,3.93553,8.14164,3.89268,6.05435,Scott Reed,"2233 Williams Islands
East Christina, RI 62018",O+,2011-10-11,"3446 Cherry Alley Apt. 837
Duncanview, IN 18191",White,Tourist information centre manager,M
1330,separated,yes,49.92638,46.61685,5.72469,6.23628,4.83774,52.65933,58.92094,593-54-9579,3.94027,0.0,4.22484,5.69178,4.18263,6.04288,Scott Reed,"2233 Williams Islands
East Christina, RI 62018",O+,2011-10-11,"3446 Cherry Alley Apt. 837
Duncanview, IN 18191",White,Tourist information centre manager,M
1331,nop,yes,47.16933,37.10596,7.59507,7.63941,4.68324,57.04603,44.60333,595-10-8804,7.32928,1.0,5.62191,6.757,8.31378,5.93933,Justin Foster,"Unit 0299 Box 1230
DPO AE 69789",AB+,1907-11-28,"USNS Williams
FPO AP 25211",White,Training and development officer,M
1332,single,yes,83.0941,88.85262,7.18138,5.14982,6.52471,53.05311,56.48734,595-10-8804,3.88465,1.0,6.10186,6.43945,4.57457,6.26599,Justin Foster,"Unit 0299 Box 1230
DPO AE 69789",AB+,1907-11-28,"USNS Williams
FPO AP 25211",White,Training and development officer,M
1333,divorced,no,86.79788,5.91177,4.98745,5.6857,5.81192,61.93864,71.12211,595-10-8804,7.63275,1.0,7.22249,5.43771,11.5537,5.26586,Justin Foster,"Unit 0299 Box 1230
DPO AE 69789",AB+,1907-11-28,"USNS Williams
FPO AP 25211",White,Training and development officer,M
1334,widowed,no,14.20351,21.4603,7.48492,5.33771,3.64007,51.10718,53.25436,147-66-1480,5.06093,0.0,4.56822,6.38712,6.15672,5.06023,Kimberly Ortiz,"7897 Joseph Valleys
Nelsonchester, KS 39327",A+,1943-11-28,"069 Jason Meadows Suite 550
New Georgechester, ID 36981",White,"Copywriter, advertising",F
1335,widowed,yes,77.54685,77.94783,7.235,6.15928,5.76249,65.01847,30.8535,147-66-1480,3.42659,0.0,6.96827,5.84327,4.7559,6.30735,Kimberly Ortiz,"7897 Joseph Valleys
Nelsonchester, KS 39327",A+,1943-11-28,"069 Jason Meadows Suite 550
New Georgechester, ID 36981",White,"Copywriter, advertising",F
1336,single,no,59.94717,64.43747,7.94761,6.62093,7.59466,39.4562,50.38541,147-66-1480,4.97323,1.0,5.65423,5.1312,8.17335,5.76586,Kimberly Ortiz,"7897 Joseph Valleys
Nelsonchester, KS 39327",A+,1943-11-28,"069 Jason Meadows Suite 550
New Georgechester, ID 36981",White,"Copywriter, advertising",F
1337,divorced,yes,82.08111,72.09736,6.20971,5.55803,6.8167,29.42782,34.50736,147-66-1480,8.35116,0.0,6.28681,8.19803,15.94147,6.78747,Kimberly Ortiz,"7897 Joseph Valleys
Nelsonchester, KS 39327",A+,1943-11-28,"069 Jason Meadows Suite 550
New Georgechester, ID 36981",White,"Copywriter, advertising",F
1338,divorced,yes,20.38922,85.06786,5.92056,7.50059,4.04256,66.01007,51.30385,619-84-8919,8.42259,1.0,4.6693,5.67518,17.72842,5.81677,Tonya Aguirre,"101 Derek Knolls Suite 421
North Hannahburgh, CO 64727",O+,1959-12-27,"835 Caitlyn Camp Suite 005
West Brianbury, CO 70674",White,Lexicographer,F
1339,separated,no,59.353,35.39532,7.70806,3.32655,7.66188,24.2782,47.36063,619-84-8919,5.17474,1.0,7.94441,7.61897,3.66262,6.21062,Tonya Aguirre,"101 Derek Knolls Suite 421
North Hannahburgh, CO 64727",O+,1959-12-27,"835 Caitlyn Camp Suite 005
West Brianbury, CO 70674",White,Lexicographer,F
1340,divorced,no,81.79788,111.29752,6.95605,4.09663,5.83546,47.44194,62.83855,619-84-8919,4.94286,0.0,7.57509,4.33274,6.76757,5.62216,Tonya Aguirre,"101 Derek Knolls Suite 421
North Hannahburgh, CO 64727",O+,1959-12-27,"835 Caitlyn Camp Suite 005
West Brianbury, CO 70674",White,Lexicographer,F
1341,married,yes,84.54214,45.46485,7.32027,7.63731,6.43829,54.90991,42.54136,236-54-9171,6.76856,1.0,6.14981,6.85456,8.64332,7.67562,Randy Marquez,"4261 Hawkins Ridges
West Andrew, AK 15046",A-,2021-02-05,"76026 Elijah Forge Suite 802
New Alexisbury, TX 48817",White,Equality and diversity officer,M
1342,married,no,65.91631,65.89723,8.25652,3.11532,7.37927,50.94297,50.67705,236-54-9171,4.55269,1.0,5.15534,6.67704,6.94405,5.45077,Randy Marquez,"4261 Hawkins Ridges
West Andrew, AK 15046",A-,2021-02-05,"76026 Elijah Forge Suite 802
New Alexisbury, TX 48817",White,Equality and diversity officer,M
1343,divorced,no,6.7574,90.30064,8.77426,6.42199,9.30873,61.95678,48.66217,236-54-9171,6.06546,1.0,5.56393,5.86478,6.8134,4.66802,Randy Marquez,"4261 Hawkins Ridges
West Andrew, AK 15046",A-,2021-02-05,"76026 Elijah Forge Suite 802
New Alexisbury, TX 48817",White,Equality and diversity officer,M
1344,single,no,30.54852,101.71128,8.90937,5.21121,8.36726,73.65129,45.19369,881-65-0165,5.78513,0.0,6.82278,6.931,2.95225,6.98945,Jason Johnson,"76165 Hill Port Suite 834
Port Glennberg, UT 43918",A-,2018-07-26,"4904 Donna Heights Apt. 558
South Brenda, OR 95968",White,"Engineer, land",M
1345,single,yes,5.31442,22.29885,5.80997,7.3886,3.27511,71.26297,36.80519,881-65-0165,8.31057,1.0,5.32933,6.53207,18.01426,6.75179,Jason Johnson,"76165 Hill Port Suite 834
Port Glennberg, UT 43918",A-,2018-07-26,"4904 Donna Heights Apt. 558
South Brenda, OR 95968",White,"Engineer, land",M
1346,divorced,yes,43.24144,54.30839,7.68694,7.39908,4.50452,81.47558,37.78772,881-65-0165,7.3639,0.0,4.92049,4.84094,9.99385,5.99131,Jason Johnson,"76165 Hill Port Suite 834
Port Glennberg, UT 43918",A-,2018-07-26,"4904 Donna Heights Apt. 558
South Brenda, OR 95968",White,"Engineer, land",M
1347,divorced,no,11.18552,72.63534,8.58644,6.06407,2.86446,45.12927,32.07685,153-70-0573,4.23405,0.0,5.72639,6.45644,3.8476,5.9512,Kimberly Chavez,"23196 Trevino Ville Suite 357
South Alison, OR 88401",A+,1985-08-06,"1422 Jason Way
Jessicastad, AZ 21601",Black,"Engineer, manufacturing systems",F
1348,separated,yes,30.58986,3.52351,7.55686,6.30494,4.28723,40.30185,67.23813,153-70-0573,3.76577,0.0,6.37295,6.44224,5.64265,5.20042,Kimberly Chavez,"23196 Trevino Ville Suite 357
South Alison, OR 88401",A+,1985-08-06,"1422 Jason Way
Jessicastad, AZ 21601",Black,"Engineer, manufacturing systems",F
1349,nop,no,73.14503,133.45579,7.26726,3.37015,5.46649,54.18122,70.38699,153-70-0573,2.56124,1.0,5.71732,6.73765,6.53524,5.88766,Kimberly Chavez,"23196 Trevino Ville Suite 357
South Alison, OR 88401",A+,1985-08-06,"1422 Jason Way
Jessicastad, AZ 21601",Black,"Engineer, manufacturing systems",F
1350,divorced,no,49.52349,34.54348,8.08708,4.01959,7.81879,49.24096,38.5609,558-70-2281,4.61803,1.0,5.17191,6.54366,6.72806,6.79466,Shawn Miles,"2720 Andrews Mountain
East Gina, WV 05351",AB+,1995-11-27,"27968 Timothy Squares Apt. 844
Levihaven, IA 68730",Asian,Podiatrist,M
1351,single,no,72.94502,39.41033,7.82324,8.07657,5.33672,55.40212,62.7545,558-70-2281,7.20906,1.0,5.40091,6.1846,7.4751,6.7887,Shawn Miles,"2720 Andrews Mountain
East Gina, WV 05351",AB+,1995-11-27,"27968 Timothy Squares Apt. 844
Levihaven, IA 68730",Asian,Podiatrist,M
1352,nop,yes,56.81253,91.21987,7.17004,7.59041,4.97453,38.50376,38.93129,558-70-2281,7.30536,1.0,5.59304,6.57063,10.85444,6.2773,Shawn Miles,"2720 Andrews Mountain
East Gina, WV 05351",AB+,1995-11-27,"27968 Timothy Squares Apt. 844
Levihaven, IA 68730",Asian,Podiatrist,M
1353,divorced,yes,15.98299,98.18441,4.94903,6.87814,2.51208,54.23583,41.23963,330-95-4907,8.79605,1.0,4.64387,6.29243,26.57789,5.54805,Gary Tran,"207 Katelyn Unions Apt. 189
Simpsonside, AZ 79657",AB-,1907-12-01,"917 Young Ridges Suite 030
North Amanda, DE 13723",Hawaiian,"Engineer, electronics",M
1354,widowed,no,46.02716,36.18906,6.38146,6.64045,4.54928,51.63887,47.89941,330-95-4907,7.7536,1.0,6.43714,7.22351,12.32772,6.50202,Gary Tran,"207 Katelyn Unions Apt. 189
Simpsonside, AZ 79657",AB-,1907-12-01,"917 Young Ridges Suite 030
North Amanda, DE 13723",Hawaiian,"Engineer, electronics",M
1355,single,no,77.5509,70.23677,7.71973,7.27666,6.09608,43.62253,53.88714,330-95-4907,6.84687,1.0,6.84234,6.77052,9.76546,6.55646,Gary Tran,"207 Katelyn Unions Apt. 189
Simpsonside, AZ 79657",AB-,1907-12-01,"917 Young Ridges Suite 030
North Amanda, DE 13723",Hawaiian,"Engineer, electronics",M
1356,separated,yes,55.45592699338297,113.19756,7.313175771139136,7.573,5.56829,54.95338,43.70072,330-95-4907,6.60618,1.0,5.61625,6.43972,7.52168,5.77518,Gary Tran,"207 Katelyn Unions Apt. 189
Simpsonside, AZ 79657",AB-,1907-12-01,"917 Young Ridges Suite 030
North Amanda, DE 13723",Hawaiian,"Engineer, electronics",M
1357,divorced,yes,45.58543,67.38018,7.84208,5.49708,4.68936,61.09993,43.67922,616-66-8865,4.42355,0.0,6.30589,5.54366,5.55974,6.35872,Diane Boyd,"7898 Joshua Ramp Apt. 569
South Cynthia, MA 51737",A-,1979-10-02,"652 Alvarez Mills Apt. 588
New Amy, PA 33150",Black,Tourism officer,F
1358,married,no,77.63481,48.43292,6.31949,6.97768,5.45504,19.89237,34.0323,616-66-8865,7.38907,1.0,6.37202,5.38137,5.74826,6.27866,Diane Boyd,"7898 Joshua Ramp Apt. 569
South Cynthia, MA 51737",A-,1979-10-02,"652 Alvarez Mills Apt. 588
New Amy, PA 33150",Black,Tourism officer,F
1359,single,yes,10.76129,98.18209,7.50726,4.75088,9.67195,25.35239,40.59919,549-41-6887,7.92968,1.0,6.00274,8.47648,11.42855,7.59788,Evan Salinas,"961 Martinez Plaza
Port Lindashire, NH 54758",B-,1908-11-27,"89371 Kristen Estate Suite 619
New Benjaminfurt, VT 57012",White,Manufacturing engineer,M
1360,widowed,no,56.00334,92.55589,7.28828,4.56155,7.477,50.29269,34.48338,549-41-6887,7.88724,0.0,6.40121,7.8299,8.165742709604052,6.93479,Evan Salinas,"961 Martinez Plaza
Port Lindashire, NH 54758",B-,1908-11-27,"89371 Kristen Estate Suite 619
New Benjaminfurt, VT 57012",White,Manufacturing engineer,M
1361,nop,yes,49.42218,45.64862,5.23789,6.13684,4.54613,41.93148,42.70324,549-41-6887,7.95085,1.0,6.08295,7.57139,13.22493,5.19318,Evan Salinas,"961 Martinez Plaza
Port Lindashire, NH 54758",B-,1908-11-27,"89371 Kristen Estate Suite 619
New Benjaminfurt, VT 57012",White,Manufacturing engineer,M
1362,single,no,74.00632,92.9297,6.47942,3.38344,6.91933,74.75242,44.03934,114-42-8984,5.17311,1.0,5.98908,5.53564,5.48384,4.65502,Brandon Gonzales,"38407 Smith Landing
West Ryan, LA 26688",A+,2008-05-12,"438 Clark Road
Nicholasville, OR 68314",Asian,Management consultant,M
1363,widowed,no,86.44158,51.46402,8.16812,7.87444,5.89549,95.362,48.22007,114-42-8984,6.81354,1.0,5.26922,8.08497,10.09459,5.6669,Brandon Gonzales,"38407 Smith Landing
West Ryan, LA 26688",A+,2008-05-12,"438 Clark Road
Nicholasville, OR 68314",Asian,Management consultant,M
1364,married,yes,60.61167,92.09425,7.52579,6.52262,7.55868,64.02955,50.30762,114-42-8984,4.87041,1.0,6.65432,6.51095,8.41649,6.02514,Brandon Gonzales,"38407 Smith Landing
West Ryan, LA 26688",A+,2008-05-12,"438 Clark Road
Nicholasville, OR 68314",Asian,Management consultant,M
1365,separated,no,89.93346,138.72054,6.9326,5.00165,6.66269,58.45388,39.97635,309-23-6187,5.97544,0.0,6.59089,6.06219,4.732,5.37117,Gina Rasmussen,"88843 Natalie Port Suite 005
North Dominicfort, AL 53866",O-,1922-02-14,"95776 Debra Route
East Nancy, CT 60621",White,"Teacher, adult education",F
1366,single,no,12.50739,70.38262,7.05363,4.51158,3.37751,55.57697,33.23249,309-23-6187,6.23875,0.0,5.78783,5.37789,7.98579,6.21847,Gina Rasmussen,"88843 Natalie Port Suite 005
North Dominicfort, AL 53866",O-,1922-02-14,"95776 Debra Route
East Nancy, CT 60621",White,"Teacher, adult education",F
1367,single,yes,27.27388,85.17071,5.81293,7.0311,4.0895,64.98699,47.36976,309-23-6187,8.07872,1.0,6.50358,5.1441,15.98233,6.49199,Gina Rasmussen,"88843 Natalie Port Suite 005
North Dominicfort, AL 53866",O-,1922-02-14,"95776 Debra Route
East Nancy, CT 60621",White,"Teacher, adult education",F
1368,divorced,yes,48.24273,55.93113,7.9101,5.60083,7.56934,58.93485,65.11815,242-19-3393,6.20548,0.0,6.32641,7.48273,4.02443,6.19496,Anne Armstrong,"141 Melanie Cliff
South Bobby, SD 82495",O+,1984-09-28,"0590 Johnny Dam
Port Brittanyport, MA 98416",Black,Systems analyst,F
1369,nop,yes,54.71389,45.98247,3.61612,4.5693,7.64348,57.69548,49.58452,242-19-3393,5.61847,0.0,8.56957,6.64589,4.87797,5.48416,Anne Armstrong,"141 Melanie Cliff
South Bobby, SD 82495",O+,1984-09-28,"0590 Johnny Dam
Port Brittanyport, MA 98416",Black,Systems analyst,F
1370,married,yes,27.47507,93.77114,8.58793,8.51237,4.14828,56.74078,41.22019,242-19-3393,7.30105,1.0,5.53404,6.04522,10.59437,6.35047,Anne Armstrong,"141 Melanie Cliff
South Bobby, SD 82495",O+,1984-09-28,"0590 Johnny Dam
Port Brittanyport, MA 98416",Black,Systems analyst,F
1371,divorced,no,74.03195,85.7211,6.53726,4.92783,7.16851,57.93248,27.34965,160-58-7605,8.54188,0.0,5.73622,6.81071,19.46996,7.02043,Ryan Robinson,"8282 Casey Springs Apt. 882
Burgesstown, NV 98367",AB-,1974-11-09,"136 Eduardo Skyway
Lake Johnny, HI 54930",White,Chief Technology Officer,M
1372,separated,yes,74.32807,96.08897,8.0972,7.23314,5.4692,41.32053,53.31025,160-58-7605,6.9385,1.0,5.73688,5.6194,6.32181,6.7549,Ryan Robinson,"8282 Casey Springs Apt. 882
Burgesstown, NV 98367",AB-,1974-11-09,"136 Eduardo Skyway
Lake Johnny, HI 54930",White,Chief Technology Officer,M
1373,single,no,89.01434,68.78411,6.61842,5.68305,6.51349,48.49022,35.06356,160-58-7605,6.96717,1.0,5.96535,5.8989,7.27634,5.31845,Ryan Robinson,"8282 Casey Springs Apt. 882
Burgesstown, NV 98367",AB-,1974-11-09,"136 Eduardo Skyway
Lake Johnny, HI 54930",White,Chief Technology Officer,M
1374,widowed,yes,74.63386,80.24802,6.61638,5.78155,5.41526,46.71926,37.55032,160-58-7605,7.25755,1.0,6.55539,5.81649,11.51831,6.78725,Ryan Robinson,"8282 Casey Springs Apt. 882
Burgesstown, NV 98367",AB-,1974-11-09,"136 Eduardo Skyway
Lake Johnny, HI 54930",White,Chief Technology Officer,M
1375,divorced,yes,37.30529,127.56331,6.7384,7.63583,4.51155,51.86585,58.34584,575-87-2193,7.64863,1.0,6.54557,5.89841,10.90876,5.10749,Luis Henderson,"55023 Garrison Estate
Davidshire, DE 67931",B-,1959-07-25,"379 Greene Dam
Gregorymouth, OR 85650",White,Insurance underwriter,M
1376,married,no,83.57591,25.74868,6.77037,5.691603747157329,6.40406,68.24775,31.42639,575-87-2193,5.96852,0.0,7.55342,5.61491,5.764,7.2476,Luis Henderson,"55023 Garrison Estate
Davidshire, DE 67931",B-,1959-07-25,"379 Greene Dam
Gregorymouth, OR 85650",White,Insurance underwriter,M
1377,divorced,yes,71.07109,45.61414,7.27939,3.71317,7.28871,40.40036,43.16372,612-85-3920,6.79193,0.0,5.15799,4.57829,5.88886,5.94054,Carla Collier,"0201 Kristine Avenue
Markland, KY 92705",B-,1968-04-22,"5117 Christopher Well Apt. 332
North Amandaton, KS 14698",Black,"Social research officer, government",F
1378,single,yes,84.71558,70.31846,7.75437,6.32999,6.97555,54.4416,47.4467,612-85-3920,6.42497,1.0,4.80842,6.56322,5.87685,7.11115,Carla Collier,"0201 Kristine Avenue
Markland, KY 92705",B-,1968-04-22,"5117 Christopher Well Apt. 332
North Amandaton, KS 14698",Black,"Social research officer, government",F
1379,single,no,11.77482,61.2859,9.31202,5.58475,9.28351,55.17137,60.05588,612-85-3920,7.65448,0.0,5.17339,6.16326,12.41982,6.91105,Carla Collier,"0201 Kristine Avenue
Markland, KY 92705",B-,1968-04-22,"5117 Christopher Well Apt. 332
North Amandaton, KS 14698",Black,"Social research officer, government",F
1380,divorced,yes,44.17564,58.62687,6.9116,4.99196,7.90512,50.0589,30.75217,698-02-2385,10.40111,0.0,5.51797,6.74188,100.0,4.87004,Jennifer Cox,"10145 Delgado Road
Port Malloryfort, CO 56210",A+,2001-03-20,"6720 Warren Vista
Margarethaven, CA 18974",White,Fish farm manager,F
1381,divorced,yes,59.86084,64.70583,7.22499,7.80819,4.74651,44.5863,29.23967,698-02-2385,7.47998,1.0,5.48779,8.0445,10.06739,7.60108,Jennifer Cox,"10145 Delgado Road
Port Malloryfort, CO 56210",A+,2001-03-20,"6720 Warren Vista
Margarethaven, CA 18974",White,Fish farm manager,F
1382,divorced,yes,39.29488,79.80347,7.4447,5.0403,8.07605,43.40506,47.91955,698-02-2385,5.74947,1.0,6.82255,9.12786,4.81311,4.83867,Jennifer Cox,"10145 Delgado Road
Port Malloryfort, CO 56210",A+,2001-03-20,"6720 Warren Vista
Margarethaven, CA 18974",White,Fish farm manager,F
1383,married,no,43.42884,86.27551,8.04689,4.66645,7.99578,54.92453,48.05074,667-85-3662,7.57362,0.0,5.42346,4.56676,13.81136,5.04594,Jeremy Robinson,"49251 Johnson Throughway
Howemouth, SC 81656",B-,2009-02-13,"288 Wolfe Ports Suite 553
Ramirezland, HI 61654",Indian,Land,M
1384,married,yes,63.82775,88.3481,5.28119,4.51197,7.48844,38.794,39.34497,667-85-3662,4.51169,0.0,7.12986,5.86489,4.57717,5.65764,Jeremy Robinson,"49251 Johnson Throughway
Howemouth, SC 81656",B-,2009-02-13,"288 Wolfe Ports Suite 553
Ramirezland, HI 61654",Indian,Land,M
1385,married,no,52.0293,85.34163,7.94157,5.04633,4.93673,39.49844,28.43842,667-85-3662,4.35368,0.0,7.8707,4.8253,4.94477,6.00698,Jeremy Robinson,"49251 Johnson Throughway
Howemouth, SC 81656",B-,2009-02-13,"288 Wolfe Ports Suite 553
Ramirezland, HI 61654",Indian,Land,M
1386,single,no,16.48851,93.66853,7.62876,6.92525,4.1053,59.30073,66.56941,667-85-3662,7.63719,1.0,6.41966,6.97022,11.26211,4.36486,Jeremy Robinson,"49251 Johnson Throughway
Howemouth, SC 81656",B-,2009-02-13,"288 Wolfe Ports Suite 553
Ramirezland, HI 61654",Indian,Land,M
1387,married,no,36.2841,51.40807,8.41303,5.28273,8.25365,55.11725,51.94098,541-22-9543,7.60409,0.0,7.1423,5.74793,11.07821,5.87764,Jeanette Ortiz,"384 Regina Via
Meyermouth, WY 12909",O+,1911-04-10,"16366 Torres Gardens Apt. 164
West Joseph, NV 26749",White,"Lecturer, higher education",F
1388,nop,no,31.36904,60.78476,6.09175,6.32251,4.27647,49.57848,48.03686,541-22-9543,4.33396,1.0,6.83617,4.2703,4.44944,5.59193,Jeanette Ortiz,"384 Regina Via
Meyermouth, WY 12909",O+,1911-04-10,"16366 Torres Gardens Apt. 164
West Joseph, NV 26749",White,"Lecturer, higher education",F
1389,divorced,no,47.94582,28.8089,7.93416,2.99841,7.89991,53.21789,34.11598,541-22-9543,5.31359,1.0,7.08179,6.09562,4.89451,5.31883,Jeanette Ortiz,"384 Regina Via
Meyermouth, WY 12909",O+,1911-04-10,"16366 Torres Gardens Apt. 164
West Joseph, NV 26749",White,"Lecturer, higher education",F
1390,nop,yes,83.58099,65.49893,7.49464,6.28722,6.10177,49.03896,39.20038,040-26-4299,6.85891,1.0,7.13066,6.47431,8.02581,6.87671,Jordan Baxter,"24141 Mcbride Wall Apt. 665
West Stephaniehaven, PA 53748",B-,1975-12-03,"54565 Kenneth Bypass Apt. 413
New Devonmouth, ME 03586",Black,Environmental consultant,M
1391,divorced,no,85.43945,30.49615,7.51362,7.32718,6.67961,24.09508,46.33452,040-26-4299,6.58472,1.0,6.26037,5.06196,8.20527,5.38216,Jordan Baxter,"24141 Mcbride Wall Apt. 665
West Stephaniehaven, PA 53748",B-,1975-12-03,"54565 Kenneth Bypass Apt. 413
New Devonmouth, ME 03586",Black,Environmental consultant,M
1392,single,no,18.92047,52.88152,8.74909,5.00033,8.71973,40.65205,35.17454,040-26-4299,8.19356,0.0,6.63857,6.122418364350703,16.80729,5.86577,Jordan Baxter,"24141 Mcbride Wall Apt. 665
West Stephaniehaven, PA 53748",B-,1975-12-03,"54565 Kenneth Bypass Apt. 413
New Devonmouth, ME 03586",Black,Environmental consultant,M
1393,divorced,yes,53.31812,36.12998,7.21822,4.72497,7.71697,51.74887,43.89139,857-02-3124,8.79024,0.0,6.23748,7.02924,23.91089,5.9098,Alexandria Rose,"9398 Reynolds Lights Apt. 942
Petersonshire, VT 74570",B-,1928-07-18,"633 Cassandra Harbors Apt. 119
Michaelfurt, WA 31027",Asian,"Administrator, education",F
1394,divorced,yes,57.68941,35.90164,9.4289,3.08308,4.889,63.83509,43.55491,857-02-3124,5.74088,0.0,5.54652,4.60002,5.63605,6.18537,Alexandria Rose,"9398 Reynolds Lights Apt. 942
Petersonshire, VT 74570",B-,1928-07-18,"633 Cassandra Harbors Apt. 119
Michaelfurt, WA 31027",Asian,"Administrator, education",F
1395,divorced,no,87.26147,78.39932,8.86813,7.00016,5.96959,52.41292,52.73969,857-02-3124,6.35598,1.0,6.72616,4.37685,5.55625,7.1327,Alexandria Rose,"9398 Reynolds Lights Apt. 942
Petersonshire, VT 74570",B-,1928-07-18,"633 Cassandra Harbors Apt. 119
Michaelfurt, WA 31027",Asian,"Administrator, education",F
1396,nop,yes,74.98932,64.80009,8.10332,4.06979,5.55005,61.9922,41.13303,857-02-3124,5.16255,0.0,5.11274,6.19306,6.14211,4.66964,Alexandria Rose,"9398 Reynolds Lights Apt. 942
Petersonshire, VT 74570",B-,1928-07-18,"633 Cassandra Harbors Apt. 119
Michaelfurt, WA 31027",Asian,"Administrator, education",F
1397,single,no,12.07684,63.08305,7.78988,3.30571,9.12371,72.21593,68.26915,782-36-8718,6.74455,1.0,4.88369,5.82755,8.01386,6.27696,Rodney Russell,"USS Miller
FPO AP 73034",O+,1913-11-07,"63311 Monique Rapids Suite 056
East Ryan, PA 24438",Black,"Engineer, communications",M
1398,divorced,yes,28.01821,102.57813,8.59499,4.44023,8.27472,58.28312,39.38582,782-36-8718,5.02537,1.0,7.62256,6.60936,6.18161,4.97956,Rodney Russell,"USS Miller
FPO AP 73034",O+,1913-11-07,"63311 Monique Rapids Suite 056
East Ryan, PA 24438",Black,"Engineer, communications",M
1399,separated,no,48.29232,26.05476,7.68374,4.86556,7.7232,60.45236,48.75581,782-36-8718,7.35254,0.0,7.52883,4.84964,6.53706,7.09744,Rodney Russell,"USS Miller
FPO AP 73034",O+,1913-11-07,"63311 Monique Rapids Suite 056
East Ryan, PA 24438",Black,"Engineer, communications",M
